T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
35,444,398,9,610,85.67586624833346,10620,5229,60,59,3
35,498,368,5,625,132.85627162242423,39600,19671,60,66,10
35,436,256,1,642,92.69990408866164,13452,8001,57,59,4
35,535,208,2,671,106.71106412902661,20520,13180,60,57,6
35,574,298,6,703,76.80169594926112,7650,4227,45,34,5
35,570,345,5,718,75.76370795165013,7344,3926,36,34,6
36,136,241,8,4,92.81003178840406,13500,7947,50,54,5
36,180,217,3,35,96.76407339409991,15300,8206,50,51,6
36,184,353,9,67,78.77835236031306,8256,4241,43,48,4
36,242,376,4,98,97.40491374804249,15606,8020,51,51,6
36,235,217,10,131,25.254569317216713,272,181,17,16,1
36,287,174,10,162,29.66856413991876,441,291,21,21,1
36,292,160,3,194,94.82827037359938,14400,7369,36,50,8
36,373,162,2,225,91.41418016151049,12900,6905,43,50,6
36,247,286,1,259,79.32166851100264,8428,5518,43,49,4
36,327,275,1,290,77.66865028666777,7912,4536,43,46,4
36,333,391,2,322,90.00359723553079,12312,7016,38,54,6
36,410,380,2,353,88.30500910014327,11628,6785,38,51,6
36,401,130,9,386,70.23209453891484,5850,3174,39,50,3
36,477,143,7,417,92.31238130308515,13284,7373,41,54,6
36,532,246,9,480,43.458167420137634,1386,599,21,33,2
36,294,352,9,513,86.12527953880658,10788,4680,58,62,3
36,374,282,9,564,69.28289582295633,5616,2704,54,52,2
36,428,395,9,610,80.78772572369242,8904,3991,56,53,3
36,492,366,6,625,123.26012364221259,31624,19092,59,67,8
36,452,270,1,642,100.41895602564796,17100,9178,57,60,5
36,536,225,2,671,108.55127169335736,21600,13156,60,60,6
36,578,296,7,703,83.18386339693505,9720,5514,45,36,6
36,560,368,8,718,75.17803449838675,7175,4209,41,35,5
37,139,247,7,4,99.30256955761638,16536,10198,52,53,6
37,179,220,3,35,101.83947531918562,17836,10164,49,52,7
37,191,350,9,67,72.12548083340526,6336,3192,48,44,3
37,233,381,5,98,102.54074363522332,18207,10090,51,51,7
37,294,173,10,162,35.06394623259993,728,461,26,28,1
37,288,156,3,194,106.50264355133935,20400,10898,50,51,8
37,375,169,2,225,97.35495609663376,15582,9161,53,49,6
